question,source_file,rewrite_query,classify_intent,extract_metadata,context_retrieve,rerank,generate_answer,total_time
در صورت عدم پرداخت وجه چک، دارنده چک چه اقداماتی می‌تواند انجام دهد طبق ماده ۵؟,نسخه چاپی قانون صدور چك_page-0001.txt,0.8681540489196777,0.5626215934753418,0.8898308277130127,0.18996500968933105,6.4977521896362305,3.377467632293701,12.385791301727295
کارگر از لحاظ این قانون چه تعریفی دارد و چه شرایطی باید داشته باشد؟,نسخه چاپی قانون كار.txt,0.7359793186187744,1.0617904663085938,0.921539306640625,0.20148158073425293,7.007259845733643,2.319563627243042,12.24761414527893
کارفرما چه مسئولیت‌هایی در قبال کارگران دارد و چه کسانی به عنوان نماینده کارفرما محسوب می‌شوند؟,نسخه چاپی قانون كار.txt,0.7078309059143066,0.8190851211547852,1.511582612991333,0.16064095497131348,6.391809463500977,4.723857164382935,14.31480622291565
قرارداد کار چه نوع قراردادی است و چه شرایطی برای انعقاد آن وجود دارد؟,نسخه چاپی قانون كار.txt,0.7314317226409912,0.5437445640563965,1.2298195362091064,0.13392114639282227,5.494973421096802,4.543539524078369,12.677429914474487
تعریف مالیات و عوارض در قانون مالیات بر ارزش افزوده چیست؟,نسخه چاپی قانون ماليات بر ارزش افزوده.txt,1.2901787757873535,0.6154558658599854,0.8191754817962646,0.14005470275878906,5.367003917694092,3.604464054107666,11.83633279800415
چه کالاها و خدماتی مشمول مالیات و عوارض طبق این قانون هستند؟,نسخه چاپی قانون ماليات بر ارزش افزوده.txt,1.1234376430511475,0.5264637470245361,1.2398924827575684,0.14299368858337402,6.113878965377808,2.996777296066284,12.143443822860718
تاریخ تعلق مالیات و عوارض چگونه تعیین می‌شود؟,نسخه چاپی قانون ماليات بر ارزش افزوده.txt,0.6467328071594238,0.7172226905822754,0.7070832252502441,0.1619248390197754,6.564631700515747,1.684140682220459,10.481735944747925
تعریف کالای قاچاق ورودی در قانون مبارزه با قاچاق کالا و ارز چیست؟,نسخه چاپی قانون مبارزه با قاچاق كالا و ارز.txt,0.7372400760650635,0.7179815769195557,1.4870364665985107,0.15719389915466309,1.430511474609375e-06,1.430511474609375e-06,3.099454879760742
چه شرایطی موجب می‌شود که کالای ممنوع به کالای مجاز مشروط تبدیل شود؟,نسخه چاپی قانون مبارزه با قاچاق كالا و ارز.txt,0.5677194595336914,0.9889211654663086,1.2269842624664307,0.14838075637817383,1.1920928955078125e-06,9.5367431640625e-07,2.9320077896118164
آیا ورود کالای مجاز نیاز به کسب مجوز دارد و در چه شرایطی این مجوز لازم نیست؟,نسخه چاپی قانون مبارزه با قاچاق كالا و ارز.txt,0.6455562114715576,0.7746789455413818,1.1852240562438965,0.16949701309204102,1.6689300537109375e-06,1.1920928955078125e-06,2.774959087371826
